,LSTM
0,-0.023113254499338525
1,0.09788976917538735
2,0.16838294018492525
3,0.2581558983539432
4,0.2675284705539418
5,0.18259835511181774
6,0.114198037585571
7,0.18899007424072087
8,0.1503873459458976
9,0.19000109068498866
