,CAGR,Max_Drawdown,Sharp_Ratio,Value
MeanVariance,19.433811690953224,25.788340552749567,0.27579231404147775,19715.64243888855
MeanVariance_cd,19.779848604331622,25.120083566376803,0.27509002127278764,19903.952407836914
CLA,19.159797323764618,25.47958267698099,0.2754927257271353,19567.40849494934
CLA_cd,20.58994022281038,25.21738962825767,0.27971401775091,20349.68363571167
HRP,7.8512778412515445,29.82733008085261,0.1666422137005573,14100.912773132324
HRP_cd,5.206421940459442,32.62914476292045,0.11815810282639322,12996.225032806396
nonconvex,7.493746481595968,32.128619801670126,0.15690968925111037,13947.902809143066
nonconvex_cd,7.822212018398278,31.581170472936034,0.16274653578019058,14088.43030166626
random,12.642269700447558,32.80386344088389,0.22222828348752244,16265.547637939453
Benchmark,12.878253128486802,28.172681908545755,0.2662101821448507,16377.78
