data,Benchmark,random,MeanVariance,MeanVariance_cd,CLA,CLA_cd,HRP,HRP_cd,nonconvex,nonconvex_cd,equal_weight
2008-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-31,-0.025282473347403744,-0.02068003576452082,-0.07364493534781713,-0.07364493534781713,-0.07364493534781713,-0.07364493534781713,-0.03410804475437512,-0.03410804475437512,-0.02763912278955638,-0.02763912278955638,-0.025282473347403744
2008-08-31,0.026278526123528767,0.06372524802832602,-0.020308319664848695,-0.03258232725795829,-0.020308319664848695,-0.03258232725795829,0.011039459386723127,0.01752521933731388,0.030948374789943167,0.03096800808958855,0.026278526123528767
2008-09-30,-0.061376064280953546,-0.04146373126896119,-0.24920667741514946,-0.15167178359967504,-0.24920667741514946,-0.15167178359967504,-0.05742992997073659,-0.042824092353973886,-0.06741417899257329,-0.06726466166679013,-0.061376064280953546
2008-10-31,-0.21905712282847467,-0.20556231992626162,-0.510432021162767,-0.43244895092728,-0.510432021162767,-0.4801536356383065,-0.18559201451256524,-0.17457693107449768,-0.20375466383981022,-0.21507052930589976,-0.21905712282847467
2008-11-30,-0.3317797619324121,-0.3081448254490756,-0.7646473954451423,-0.7035834150301928,-0.5752958614914344,-0.5749136362155204,-0.274647911686978,-0.25667040064163904,-0.30919385648369957,-0.31820691061247564,-0.3317797619324121
2008-12-31,-0.36979797439419815,-0.3665217632601402,-0.8651276621959719,-0.8132429461733285,-0.6267764285363939,-0.594414820426306,-0.32036663246927266,-0.28859620833668287,-0.350345283569521,-0.3595711042579659,-0.36979797439419815
2009-01-31,-0.38555712415831944,-0.38398281808884804,-0.8175302105638437,-0.7617985215928725,-0.6166169608525043,-0.5843032944893891,-0.30742537230970646,-0.2943947444419409,-0.35755886629239786,-0.370737425652925,-0.38555712415831944
2009-02-28,-0.45807533585880966,-0.5217723273059527,-0.7633476519935859,-0.7058213776791887,-0.5523253294392025,-0.5195759867636407,-0.38601258179999587,-0.3919550754250306,-0.46595015000608786,-0.47925679206134053,-0.45807533585880966
2009-03-31,-0.3714645126606748,-0.3525205296834182,-0.6888769501692492,-0.6290148764906839,-0.464799635427084,-0.43149322672628876,-0.2811721815748057,-0.2892045081950291,-0.3316081952007506,-0.3485528143798794,-0.3714645126606748
2009-04-30,-0.2930290874600756,-0.22979026964176175,-0.6441542330696365,-0.5706331369729024,-0.4127496860561184,-0.36523410067277884,-0.20224484485390282,-0.20039745952003918,-0.2148301807879951,-0.23394421398992338,-0.2930290874600756
2009-05-31,-0.2549001974667031,-0.1635098423984349,-0.63341087536164,-0.5738093949172486,-0.4002588169090395,-0.36904565951386104,-0.15932537438955052,-0.15626035714040099,-0.17128183218189563,-0.18855758195929695,-0.2549001974667031
2009-06-30,-0.25954830280387753,-0.1980714251308865,-0.6410300932127626,-0.5730495791221125,-0.40852893910898924,-0.36888963455477686,-0.15799136862701968,-0.14482206123489194,-0.18037018302971763,-0.1998694846371728,-0.25954830280387753
2009-07-31,-0.23061820449538695,-0.196719052646818,-0.5621479755003063,-0.5334643113441581,-0.3179589723737313,-0.3289816934646391,-0.10934732904085764,-0.10960787240389036,-0.14948483769822285,-0.17229217426761345,-0.23061820449538695
2009-08-31,-0.17885392825844748,0.039600447810261286,-0.4138237615377407,-0.5328937823395191,-0.14782270370251083,-0.33017015882568157,-0.0608344534108457,-0.03795596524970313,-0.04907163241546775,-0.06289915978459681,-0.17885392825844748
2009-09-30,-0.12725559292499977,0.09194778963685735,-0.3716446495314729,-0.4756877807100536,-0.09987267077944773,-0.2655227442014083,-0.03636185837836814,0.006226487205512776,-0.015486901265787778,-0.02589711822084151,-0.12725559292499977
2009-10-31,-0.11897444102325905,0.04641079258009029,-0.40592433817569007,-0.5098382733496065,-0.13803687459201464,-0.2860807485029587,-0.028184695923273995,-0.003754298009992163,-0.015090584413297692,-0.030406122946858294,-0.11897444102325905
2009-11-30,-0.026451809076783017,0.11625828833580343,-0.33111262115538964,-0.39812286792748197,-0.055385799086311804,-0.18702439186134023,0.031760442122180765,0.07504841327583966,0.04978532507771238,0.03920004665010002,-0.026451809076783017
2009-12-31,0.035159088074069866,0.1498365877847272,-0.2959233524285487,-0.31632624043808333,-0.01639248833577267,-0.11114354151483774,0.07351151667247369,0.13326738429300133,0.09637738257710093,0.08646326672877092,0.035159088074069866
2010-01-31,-0.024653093001274717,0.08881633286720148,-0.39351829335249433,-0.45253708624092936,-0.12399548632530699,-0.23431250587351715,0.05040600827283026,0.08913996526096046,0.058520234011942174,0.045881565150790116,-0.024653093001274717
2010-02-28,-0.01406376807205123,0.102400072892738,-0.37079970049609057,-0.4320412807095254,-0.09993012073381236,-0.2153308601314694,0.06206470586549295,0.10172820379656133,0.0672800863254921,0.05596091650276691,-0.01406376807205123
2010-03-31,0.07254409973973353,0.2191410748615642,-0.2657233714809035,-0.30309525062311937,0.01757700145418961,-0.10113577131578477,0.128277255028589,0.1827828958170966,0.15169849431643256,0.1382254063345757,0.07254409973973353
