,CAGR,Max_Drawdown,Sharp_Ratio,Value
MeanVariance,20.759647487604948,25.322581695892776,0.33732218520250423,28206.66202569008
MeanVariance_cd,13.240357685729581,19.57295000744917,0.2650589655771005,20463.04533100128
CLA,20.809318946384952,25.254030700416628,0.338779802825547,28264.628039598465
CLA_cd,13.5243232365644,19.400400769334528,0.27050541147820345,20720.492765426636
HRP,10.52150536932465,11.429037199536232,0.33006376294633555,18125.15910422802
HRP_cd,11.050487092629917,13.127364944635811,0.3351765302792276,18562.383911967278
nonconvex,11.88111181896268,14.091359512350804,0.343391834706278,19265.912976384163
nonconvex_cd,12.445649891754565,14.374815104695086,0.35526603738344126,19756.120778799057
random,14.474895770244208,16.892147522543222,0.36388530288083326,21601.206797003742
Benchmark,10.554051871815474,11.453893816637196,0.3668289016365287,18151.82
