,LSTM
0,0.11498908200125828
1,0.1373268189598661
2,0.06533648266642084
3,0.18398411864510172
4,0.11957469263028112
5,0.07147723127578444
6,0.13434563260003723
7,0.13728522180480232
8,0.17047784294516452
9,-0.025336543890802928
