,CAGR,Max_Drawdown,Sharp_Ratio,Value
MeanVariance,25.870180028700386,17.181518361107567,0.39718336552135103,54911.47389340401
MeanVariance_cd,18.660652319163418,19.11312784865805,0.34084045034165866,36362.62285351753
CLA,26.014626023010056,17.26440015685552,0.3965929519878609,55353.34646439552
CLA_cd,18.396373939186184,18.508645572677377,0.34252153470809693,35800.44465589523
HRP,12.242042328290252,11.82531038131922,0.36872651367953385,24653.83686959744
HRP_cd,14.388481292809638,10.764416707736958,0.4354858477848086,28143.215482831
nonconvex,14.50253026327818,15.693264428829675,0.3790424776560753,28339.885546803474
nonconvex_cd,13.860614139407337,15.047415475567451,0.38051280051298647,27248.10007095337
random,14.997701278394985,20.51019613073437,0.3289979478238299,29207.494904756546
Benchmark,10.731531529297024,14.964326235829866,0.34376821486347864,22426.67
