data,Benchmark,MeanVariance,MeanVariance_cd,CLA,CLA_cd,HRP,HRP_cd,nonconvex,nonconvex_cd,random
2016-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31,0.027558181818181815,0.014012691151012113,0.014012691151012113,0.014012691151012113,0.014012691151012113,0.014861778952858673,0.014861778952858673,0.016986329512162612,0.016986329512162612,0.01926269669966274
2016-08-31,0.028534901561545256,0.003987740224114966,0.0020727519643640724,0.003313549313911923,0.0013752531830649728,0.002139054300771992,0.001485133314528042,0.0022440310427638277,0.0022440310427638277,0.0020550853268367364
2016-09-30,0.02857555850707727,-0.00021156497885965742,-0.0017898900510744387,-0.0008070552722607705,-0.0022059121314239594,-0.006340774517358483,-0.0069158820713535185,-0.00490717021146958,-0.00490717021146958,-0.005031796398163424
2016-10-31,0.014549482555920257,-0.024646917546362723,-0.024343275138951737,-0.025257127746903585,-0.024768853952425562,-0.036054366915945324,-0.03789661664028188,-0.035498093222415594,-0.035498093222415594,-0.036190179443795434
2016-11-30,0.04423770246387959,-0.08640358825718142,-0.06406634341509199,-0.09743657466242373,-0.06450914296457211,-0.0625131664878934,-0.07052834643558181,-0.06490983719877075,-0.06490983719877075,-0.06894971420029927
2016-12-31,0.0606560624734207,-0.08604393384766773,-0.06313375862447568,-0.098189592737019,-0.06347225173258608,-0.06028604816797156,-0.06967661479822052,-0.06274985024027757,-0.06274985024027757,-0.06681565404358603
2017-01-31,0.07523329697847148,-0.07174176057319537,-0.0452379339261203,-0.08410415033076102,-0.04585438876861714,-0.04407258182265161,-0.05473706857086691,-0.04724190464350231,-0.04724190464350231,-0.0499828841370582
2017-02-28,0.10730842145149766,-0.040227122391355064,-0.015632411315670836,-0.05306044231700702,-0.016230497121506815,-0.02047711116934503,-0.03339512476964457,-0.02498702083521709,-0.02498702083521709,-0.02852426903504135
2017-03-31,0.10836192262523547,-0.04272182976614136,-0.020842615252107066,-0.055518993163635066,-0.021443840769562628,-0.028266880818252904,-0.04046745171130717,-0.03257583269135034,-0.03257583269135034,-0.036239020423165735
2017-04-30,0.11651796432220207,-0.03994965536959083,-0.015162470289682428,-0.052934764124976885,-0.015760254966919685,-0.01885756769050051,-0.031111792013633788,-0.02346904264191907,-0.02346904264191907,-0.02755960988217021
2017-05-31,0.12814975399039774,-0.0325263396470743,-0.007790735286738126,-0.04573215776406525,-0.008384079652462018,-0.010635385144563525,-0.022871454270137703,-0.015999319214233587,-0.015999319214233587,-0.019115887201335724
2017-06-30,0.1334196921098838,-0.034166421798712765,-0.012931173562036102,-0.0473904892078888,-0.013527591562085939,-0.012211756172261223,-0.02479731213825276,-0.018852917314342577,-0.018852917314342577,-0.02261401611838154
2017-07-31,0.15042970972239278,-0.025941207703273683,0.0018150685302744662,-0.03933765643775888,0.0012275133715075048,0.00033518507507235284,-0.015528489876744711,-0.00810834649007619,-0.00810834649007619,-0.0122579708212468
2017-08-31,0.1528448165998837,-0.017695138801698373,0.011932505140662686,-0.030783444022633,0.011350942382783447,0.010594803800673347,-0.0014000812973267163,0.005136669723984522,0.005136669723984522,7.583684560652504e-05
2017-09-30,0.16956599582215737,-0.022201708527275432,0.010947712465123605,-0.03524922540464237,0.010365572275396917,0.003334351889563214,-0.011369714527837416,-0.004641648257477926,-0.004641648257477926,-0.010576563625589008
2017-10-31,0.1891953070816781,-0.011589697544802435,0.022973108792058605,-0.02451071809904448,0.022398026631903156,0.006450192540705002,-0.009167040169914764,-0.002810695449575573,-0.002810695449575573,-0.01035283884906213
2017-11-30,0.21475980423732421,0.006979435324296457,0.04113079671175357,-0.005686201924736789,0.040566245080457475,0.02351370822486576,0.005066037911427679,0.011666763107597178,0.011666763107597178,0.005940097539472555
2017-12-31,0.22494040213238287,0.013922502772878431,0.0487237172290198,0.0013808871671703304,0.048342859456063425,0.030953513594034865,0.01362521511885173,0.020296223529892132,0.020296223529892132,0.01729296616305387
2018-01-31,0.27241748171115376,0.05128101147620323,0.0870065632910666,0.03786797773944284,0.08473480622563556,0.045839865491138054,0.023269205424489958,0.03188942600855149,0.03188942600855149,0.019135963078676932
2018-02-28,0.24154010733028553,0.024263169176367394,0.06085370095304932,0.011367278936167402,0.05852408254813113,0.012781617154109637,-0.007559873826686103,0.0005552596621857253,0.0005552596621857253,-0.018068275012771973
2018-03-31,0.21838634258492529,0.001074374341845763,0.04683129338199776,-0.011370970465782393,0.04437776720336928,0.018522609559968317,-0.002264666609635868,0.0033162755028292024,0.0033162755028292024,-0.012318542035322566
2018-04-30,0.22274194276813364,-0.015114690433530198,0.042116502024475144,-0.02739594241011145,0.039607166353043066,0.01105183451155467,-0.006003668553346331,0.0015466866083624353,0.0015466866083624353,-0.01738737307106175
2018-05-31,0.2431816358804073,-0.019941031247779906,0.047161504318308234,-0.03214528163034125,0.044561087475360805,0.016625427173898588,0.003602193310022872,0.011062814292571721,0.011062814292571721,-0.004416471070161632
